모델,종목명,티커,보유 수량,현재가,평가 금액
GB_1D,MSFT,MSFT,4,521.77,2087.08
GB_1D,AAPL,AAPL,10,227.18,2271.8
GB_1D,NOW,NOW,3,856.37,2569.11
GB_1D,GOOGL,GOOGL,11,201.0,2211.0
GB_1D,BRK-B,BRK-B,4,464.73,1858.92
GB_1D,현금,,,,756.38
GB_1D,총 자산,,,,11754.29
