Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Return,MA_5,MA_20,RSI,MACD_diff,Volume_Change,국내총생산,기준금리,실업률,소비자물가지수(CPI),근원 소비자물가지수,개인소비지출,소비자심리지수,신규 실업수당청구건수,10년 국채 수익률,경기선행지수,UpdatedAt
2019-01-02 00:00:00-05:00,36.78413837044897,37.7245827857424,36.62739703060972,37.503719329833984,148158800,0.0,0.0,AAPL,-0.09960722686297696,35.482722473144534,36.46650562286377,47.112771741183046,-0.05590480645914431,1.4652521483705323,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-03 00:00:00-05:00,34.19317547745964,34.60640172363963,33.72295500680148,33.7680778503418,365248800,0.0,0.0,AAPL,-0.09960722686297696,35.482722473144534,36.46650562286377,47.112771741183046,-0.05590480645914431,1.4652521483705323,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-04 00:00:00-05:00,34.32379352547417,35.278486653439785,34.15043005188284,35.20961380004883,234428400,0.0,0.0,AAPL,0.042689310185075824,35.482722473144534,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.3581679118452956,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-07 00:00:00-05:00,35.314117263459316,35.34499155915994,34.64915668419154,35.13125228881836,219111200,0.0,0.0,AAPL,-0.0022255714497601,35.482722473144534,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.06533849994283969,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-08 00:00:00-05:00,35.518340693165854,36.05506039185335,35.271357298819396,35.80094909667969,164101200,0.0,0.0,AAPL,0.01906270810831523,35.482722473144534,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.25105973587840325,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-09 00:00:00-05:00,35.929194550467045,36.69864919303754,35.534971211573676,36.40891647338867,180396400,0.0,0.0,AAPL,0.016981878750397916,35.26376190185547,36.46650562286377,47.112771741183046,-0.05590480645914431,0.09929970042875991,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-10 00:00:00-05:00,36.216548044796546,36.565652109291655,35.82707186978907,36.5252799987793,143122800,0.0,0.0,AAPL,0.003196017257906414,35.81520233154297,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.20662053123011326,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-11 00:00:00-05:00,36.30680246578782,36.50153878834281,35.98144470474648,36.166683197021484,108092800,0.0,0.0,AAPL,-0.009817770097034106,36.0066162109375,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.2447548538737364,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-14 00:00:00-05:00,35.824705095839064,35.924448615457706,35.43760239866407,35.622840881347656,129756800,0.0,0.0,AAPL,-0.015037107846223918,36.10493392944336,36.46650562286377,47.112771741183046,-0.05590480645914431,0.20042037952574088,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-15 00:00:00-05:00,35.6869494685626,36.427903118150255,35.634702365195125,36.35190963745117,114843600,0.0,0.0,AAPL,0.020466328290096092,36.215126037597656,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.11493193420306291,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-16 00:00:00-05:00,36.354297134089684,37.01925755806657,36.33529785069117,36.7960205078125,122278800,0.0,0.0,AAPL,0.012216988730181733,36.29254684448242,36.46650562286377,47.112771741183046,-0.05590480645914431,0.06474196211195049,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
2019-01-17 00:00:00-05:00,36.620280311678194,37.441982116151216,36.397043258635236,37.01450729370117,119284800,0.0,0.0,AAPL,0.005937783023093113,36.3903923034668,36.46650562286377,47.112771741183046,-0.05590480645914431,-0.024485029293712435,21111.6,2.4,4.0,252.561,260.766,14084.6,91.2,225000.0,2.71,1.0,2026-04-01 21:48:42
