모델,종목명,티커,보유 수량,현재가,평가 금액
GB_20D,AMZN,AMZN,19,249.67,4743.73
GB_20D,CRM,CRM,8,234.02,1872.16
GB_20D,BRK-B,BRK-B,16,505.48,8087.68
GB_20D,NFLX,NFLX,21,71.14,1494.04
GB_20D,현금,,,,267.79
GB_20D,총 자산,,,,16465.4
