Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Return,MA_5,MA_20,RSI,MACD_diff,Volume_Change,국내총생산,기준금리,실업률,소비자물가지수(CPI),근원 소비자물가지수,개인소비지출,소비자심리지수,신규 실업수당청구건수,10년 국채 수익률,경기선행지수,UpdatedAt,Target_1D,Target_20D,Return_1D,Return_20D,Predicted_Return_GB_1D,Predicted_Return_GB_20D,Predicted_Return_Dense_LSTM,예측종가_GB_1D,예측종가_GB_20D,예측종가_Dense_LSTM
2025-05-01,207.98107159612528,213.43226431553572,207.8020097882055,212.19879150390625,57365700,0.0,0.0,AAPL,0.003858818787250806,210.1794647216797,198.50613861083986,54.817143821177325,2.8660280687651376,0.09714170961911783,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,204.27069091796875,200.05633544921875,-0.037361666999840365,-0.05722207920521534,0.014733634453046493,0.022429059313925175,2.115573,215.32525092930302,216.9582107848906,661.1208104572142
2025-05-02,205.0067917796952,205.9020705063368,201.09745506032002,204.27069091796875,101010600,0.0,0.0,AAPL,-0.03736166699984034,209.39759521484376,198.61357040405272,48.05266153527838,2.225435252662446,0.7608187470910317,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,197.8446502685547,200.9029541015625,-0.03145845652421394,-0.0164866374185745,0.02613332309921135,0.04383434087456111,2.1126487,209.60896288342715,213.22476201434912,635.8229057447898
2025-05-05,202.03252954096354,203.0272736250085,197.1682315771274,197.8446502685547,69018500,0.0,0.0,AAPL,-0.031458456524213974,207.159423828125,199.13630905151368,43.379976840375846,1.3240147276552618,-0.31672022540208655,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,197.4666290283203,202.46678161621094,-0.0019106973057964837,0.02336242775016742,0.040525889618179246,0.04929516925243093,2.124892,205.86248072688542,207.59743578923107,618.2431641515323
2025-05-06,197.1682179665783,199.59538061408486,195.98447015970467,197.4666290283203,51216500,0.0,0.0,AAPL,-0.001910697305796516,204.63277282714844,199.9843276977539,43.11437654290016,0.6893191732596122,-0.25793084462861404,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,195.21852111816406,202.0185546875,-0.011384748507728009,0.023051619818388953,0.03366678913061727,0.04835324507378433,2.1190429,204.1146963881506,207.0147813356207,615.9068820016619
2025-05-07,198.12317194216024,198.3917570874617,192.23428894820486,195.21852111816406,68536700,0.0,0.0,AAPL,-0.011384748507727971,201.3998565673828,201.16956634521483,41.487544899751846,0.13415779262621186,0.3381761736940243,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,196.45201110839844,199.8372039794922,0.006318509038841424,0.02365904031478897,0.0487562171493552,0.054685728925001856,2.1194494,204.73663772537725,205.8941882451717,608.974294092619
2025-05-08,196.68079799363124,198.99855348942916,193.65676753221484,196.45201110839844,50478900,0.0,0.0,AAPL,0.006318509038841347,198.25050048828126,201.10192489624023,42.76367628914117,-0.1201689601838094,-0.2634763564630337,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,197.48654174804688,203.11419677734375,0.0052660730415103945,0.0339125348290237,0.046140733606491124,0.056167520475342216,2.1098115,205.51645101941048,207.48623346475156,610.9287320690964
2025-05-09,197.95407268173315,199.4859718922483,196.5017396407649,197.48654174804688,36453900,0.0,0.0,AAPL,0.0052660730415103885,196.89367065429687,201.50529556274415,43.86938138342638,-0.18502939935320217,-0.2778388594046225,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,209.95704650878906,200.65394592285156,0.06314609922458435,0.016038582410570833,0.04564562243658133,0.058912882576694,2.10495,206.50093786898438,209.12104319252694,613.1858281577006
2025-05-12,210.13634313336473,210.435160708662,205.93301745006437,209.95704650878906,63775800,0.26,0.0,AAPL,0.06314609922458425,199.31614990234374,202.14772186279296,55.12350885430929,0.6025029390091694,0.7494918239200743,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,212.08860778808594,201.869140625,0.010152368376012782,-0.03852171679053645,0.031383648938591434,0.021073492459700624,2.0950117,216.54626474860441,214.38157474525306,649.8195177769958
2025-05-13,209.5984864444124,212.55675181657614,208.1741443311085,212.08860778808594,51909300,0.0,0.0,AAPL,0.010152368376012744,202.24054565429688,202.67937469482422,56.72081991594471,1.2218343648231773,-0.18606587451666623,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,211.49098205566406,197.9945068359375,-0.0028178115677906135,-0.06645383313671868,0.026485261649140505,0.017903299778802173,2.0894814,217.70583005815533,215.88569371298485,655.2437991061597
2025-05-14,211.59057778761635,213.09462076548897,209.74789716231066,211.49098205566406,49325800,0.0,0.0,AAPL,-0.0028178115677905957,205.4950378417969,203.2000473022461,56.11772342591104,1.526319193628737,-0.04976950180410833,30485.729,4.33,4.3,320.62,326.893,20755.0,52.2,228000,4.42,1.72,2026-06-27 22:06:48,210.6144561767578,198.41285705566406,-0.004144507110357783,-0.06183774302281059,0.020900392731976147,0.020154437613226883,2.105774,215.91122663989876,215.753463859265,656.8431776063517
