날짜,모델,종목명,티커,예측 수익률,현재가,매수(매도),잔여 현금,총 자산,Return_1D,실제 수익률,예측 방향 일치,예측 정확도(%)
2025-05-01,GB_1D,SMCI,SMCI,386.0709212968695,32.72999954223633,BUY (61주),8001.473497951508,9998.003470027925,0.02994193571471612,299.4193571471612,True,71.06
2025-05-01,GB_1D,JPM,JPM,330.2275208219013,241.09397888183594,BUY (8주),6070.792915065766,22706.277457912445,0.02276312495905941,227.6312495905941,True,54.93
2025-05-01,GB_20D,NOW,NOW,501.4380122879475,191.58999633789062,BUY (10주),8082.1841366577155,9998.084100036622,0.020262037989360025,202.62037989360024,True,0.0
2025-05-01,GB_20D,ADBE,ADBE,457.63707489520806,374.6300048828125,BUY (5주),6207.160962219239,11826.611035461427,0.016656408064076242,166.56408064076243,True,0.0
2025-05-02,GB_1D,SMCI,,-324.4774342420181,33.709999084472656,SELL (59주),8057.693971103668,8394.793961948395,,,False,0.0
2025-05-02,GB_1D,AVGO,AVGO,375.4788705210984,201.68405151367188,BUY (9주),6240.722351016999,10072.719329776764,-0.014339024295395991,-143.3902429539599,False,0.0
2025-05-02,GB_1D,ADBE,ADBE,312.9515932280843,380.8699951171875,BUY (5주),4334.468025455475,13475.347908267975,0.0004988642944892241,4.988642944892241,True,0.0
2025-05-02,GB_20D,AVGO,AVGO,559.5310927363597,201.68405151367188,BUY (9주),4390.189342132569,9230.606578460694,-0.014339024295395991,-143.3902429539599,False,0.0
2025-05-02,GB_20D,NOW,NOW,512.1503226674668,195.4720001220703,BUY (10주),2433.514620910646,9079.562625061037,0.000705985963181786,7.05985963181786,True,0.0
2025-05-05,GB_1D,SMCI,SMCI,680.0545060626469,32.16999816894531,BUY (62주),2337.9335990943914,5104.553441623688,0.02393535907959662,239.3535907959662,True,0.0
2025-05-05,GB_1D,ASML,ASML,328.7476963080427,678.0464477539062,BUY (2주),980.4846106910713,60648.57201303482,-0.004931446822082015,-49.31446822082015,False,0.0
2025-05-05,GB_20D,AAPL,AAPL,589.7404406206714,197.84463500976562,BUY (10주),453.08982446289247,9158.253764892579,-0.001910620328050109,-19.10620328050109,False,0.0
2025-05-12,GB_1D,ASML,,-1135.659205997232,744.3668212890625,SELL (2주),2467.729519626618,66483.276150486,,,False,0.0
2025-05-12,GB_1D,AMZN,AMZN,659.2863007541253,208.63999938964844,BUY (9주),588.0917651252755,20408.891707141876,0.013084718824412103,130.84718824412104,True,0.0
2025-05-14,GB_1D,SMCI,,-581.8741472648969,45.0,SELL (44주),2566.1117651252753,4861.111765125275,,,False,0.0
2025-05-14,GB_1D,NFLX,NFLX,332.48773327830173,115.0989990234375,BUY (17주),607.4720987434396,8434.20403233719,0.023449356818550607,234.49356818550606,True,58.21
2025-05-15,GB_1D,SMCI,,-442.2651818963367,43.959999084472656,SELL (20주),1485.7928804512032,3595.8728365058905,,,False,0.0
2025-05-16,GB_1D,AVGO,,-295.9702652431756,226.41421508789062,SELL (8주),3295.295287433625,12351.863890949251,,,False,0.0
2025-05-16,GB_1D,BRK-B,BRK-B,375.0325355214646,514.3099975585938,BUY (3주),1750.8223647651682,23866.1522597847,-0.0037331238344001125,-37.33123834400112,False,0.0
2025-07-31,GB_1D,AMZN,,-227.0503831187356,234.11000061035156,SELL (8주),3621.829489643098,11815.679511005403,,,False,0.0
2025-07-31,GB_1D,CRM,CRM,178.22024926891206,256.1618957519531,BUY (7주),1826.9030861091626,12585.702707691195,-0.02938099310774367,-293.8099310774367,False,0.0
2025-08-01,GB_20D,AVGO,,-264.60186993173016,286.5404968261719,SELL (6주),2170.6135624389667,13059.152441833498,,,False,0.0
2025-08-01,GB_20D,NFLX,NFLX,582.2326336394264,115.86000061035156,BUY (17주),199.02393205261433,6571.32396562195,0.010693927210071485,106.93927210071485,True,0.0
2025-08-04,GB_20D,AVGO,,-290.62078366253087,295.5544738769531,SELL (3주),1084.8006902618429,16453.633331863406,,,False,0.0
2025-08-06,GB_20D,AAPL,,-256.67716112008054,212.4073486328125,SELL (9주),2994.55516181946,12128.071153030398,,,False,0.0
2025-08-06,GB_20D,SMCI,SMCI,872.8763358836989,46.790000915527344,BUY (42주),1027.4099433288595,5004.5600211486835,-0.002564709216370375,-25.64709216370375,False,0.0
2025-08-07,GB_20D,AAPL,,-225.4554025967645,219.16053771972656,SELL (1주),1246.3513205108663,19655.836488967896,,,False,0.0
2025-08-08,GB_20D,NFLX,,-311.81697582258386,121.16400146484375,SELL (16주),3183.0367199249285,11422.188819534304,,,False,0.0
2025-08-08,GB_20D,CRM,CRM,866.8729192543288,238.491455078125,BUY (8주),1273.1971476593037,19398.547733596803,-0.03255587284168372,-325.5587284168372,False,0.0
2025-08-11,GB_20D,NFLX,,-390.5703795145992,121.83100128173828,SELL (1주),1394.9063179397604,10532.231414070131,,,False,0.0
2025-08-19,GB_20D,ADBE,,-253.62105176402653,361.0299987792969,SELL (5주),3198.251161842348,28470.35107639313,,,False,0.0
2025-08-19,GB_20D,NOW,NOW,476.11288483480496,177.3560028076172,BUY (11주),1245.3842149276757,15611.220442344667,0.003913034986999711,39.13034986999711,True,0.0
2025-08-22,GB_1D,AVGO,,-242.00696104705312,291.86151123046875,SELL (1주),2118.472735828401,14084.794696277619,,,False,0.0
2025-08-22,GB_1D,NOW,NOW,122.90626191046572,177.35000610351562,BUY (11주),165.67181862259054,9387.872136005402,-0.007679726331240036,-76.79726331240036,False,0.0
2025-08-28,GB_20D,NOW,,-209.21867667163872,185.72000122070312,SELL (10주),3100.7270271224997,16286.84711379242,,,False,0.0
