날짜,모델,티커,예측 수익률,현재가,매수(매도),잔여 현금,총 자산,실제 수익률,예측 방향 일치,예측 정확도(%)
2025-05-01,GB_1D,MSFT,408.0337776768394,424.6204528808594,BUY (4주),8299.81970666504,9998.301518188477,232.2523065499024,True,24.31
2025-05-01,GB_1D,NVDA,234.9801837096598,111.61000061035156,BUY (17주),6400.552326278686,8744.36233909607,258.93731510117,True,90.75
2025-05-01,GB_20D,GOOG,1292.3496031604172,162.7899932861328,BUY (12주),8044.566600646973,9998.046520080567,185.51535088233186,True,0.0
2025-05-01,GB_20D,GOOGL,1035.2641898289926,161.3000030517578,BUY (12주),6107.030963989258,9978.231037231446,169.24957693045198,True,0.0
2025-05-01,Dense-LSTM,MSCI,32143.20659637451,544.3617553710938,BUY (3주),8365.281648620607,9998.366914733888,178.54934445946512,True,0.0
2025-05-01,Dense-LSTM,BRK-B,29888.811111450195,530.22998046875,BUY (3주),6773.001017272951,9954.38090008545,180.4878576605265,True,0.0
2025-05-02,GB_1D,ASML,593.1993091010546,690.3300170898438,BUY (2주),5018.511632064819,20896.102025131226,-100.96666182450136,False,0.0
2025-05-02,GB_1D,AMD,310.0089906875025,98.80000305175781,BUY (20주),3040.5355709686282,7288.935702194214,181.17340393148558,True,28.89
2025-05-02,GB_20D,GOOG,1243.3399975918576,165.80999755859375,BUY (12주),4115.3212733154305,10084.481185424806,14.474729913631995,True,0.0
2025-05-02,GB_20D,GOOGL,1215.6705390461107,164.02999877929688,BUY (12주),2144.9929279785165,10018.432869384767,10.9740861982517,True,0.0
2025-05-02,Dense-LSTM,BRK-B,26661.86809539795,539.7999877929688,BUY (3주),5151.981653930666,10010.181544067385,-512.226083812194,False,0.0
2025-05-02,Dense-LSTM,MSCI,26424.407958984375,554.081298828125,BUY (3주),3488.0755135498066,10137.051099487308,-97.33458705090113,False,0.0
2025-05-05,GB_1D,MSFT,-245.17455679685767,435.3707275390625,SELL (4주),4780.276998214722,21759.73537223816,-65.57094138688937,True,0.0
2025-05-05,GB_1D,AAPL,217.1750366825479,198.62953186035156,BUY (10주),2791.9953842926034,12524.84244544983,-19.10675608042629,False,0.0
2025-05-05,GB_1D,AMZN,199.61949565439983,186.35000610351562,BUY (10주),926.6318231964121,11921.282183303834,-71.90832051464082,False,0.0
2025-05-05,GB_20D,AAPL,1283.005122615747,198.62953186035156,BUY (10주),156.71131405639767,11677.224161956789,-19.10675608042629,False,0.0
2025-05-05,Dense-LSTM,BRK-B,25611.80353164673,512.1500244140625,BUY (3주),1950.088990234377,9632.339356445314,3.514452156615143,True,0.0
